play_id,title,ExitVelocity,HitDistance,LaunchAngle,video
2a5517dd-c795-482d-94e4-4599208c4519,Aaron Judge homers (1) on a fly ball to center field.   Gleyber Torres scores.,111.3,413.8729367,37,https://sporty-clips.mlb.com/ek1XMDlfV0ZRVkV3dEdEUT09X0JGQlVVVlVEQWxZQVcxVUxVd0FBQ1FRQ0FGZ0JCbFVBQmxBTUNRRUZDVkJSQlFOZg==.mp4
a08ebce4-e9c7-44aa-ab73-13ed298ff2ae,José Ramírez homers (2) on a line drive to right field.,99.1,364.8078173,23,https://sporty-clips.mlb.com/ek1XMDlfV0ZRVkV3dEdEUT09X1Z3RlpBUVpYQXdZQVhWdFJVUUFBQlZjSEFBQlhWRklBQTFaUVZBRU1DVlVEQWxNRA==.mp4
a2ed9946-5d90-47ec-9ba5-7124cbf7ef1b,Mookie Betts homers (4) on a fly ball to left field.,104.8,382.4621213,23,https://sporty-clips.mlb.com/TUFLb1dfV0ZRVkV3dEdEUT09X1Z3TUVBRjBOVWdRQURRWUxWZ0FBQmxNRkFGaFhBbFFBQlZRSEJGQlhWd1FBVmdNRQ==.mp4
00066095-9ef3-4a0c-a95e-981a63dff5ef,Shohei Ohtani homers (3) on a fly ball to right center field.,117.8,421.6078787,22,https://sporty-clips.mlb.com/QndhUGRfV0ZRVkV3dEdEUT09X0JnRlJVbElFWHdjQUFRZFVWUUFBVUFZRkFBQU1WZ1FBQzEwRVVRVUdWVlVEQlZjQQ==.mp4
96415ba2-ee93-427e-892b-cb6147a13eb7,Giancarlo Stanton homers (4) on a fly ball to left center field.   Juan Soto scores.    Aaron Judge scores.,105.7,404.369626,30,https://sporty-clips.mlb.com/TUFLbzFfV0ZRVkV3dEdEUT09X0R3ZFZWVkZXQndBQVhRY0xWUUFBQXdFREFGa01VUU1BVVFjREFRY0NVQUpXVlZCUg==.mp4
857bfdd6-ffca-4fda-9f8f-3a27fb4977f1,Mark Vientos hits a grand slam (3) to center field.   Jesse Winker scores.    Tyrone Taylor scores.    Francisco Lindor scores.,102.3,390.6695273,28,https://sporty-clips.mlb.com/TkFWODVfV0ZRVkV3dEdEUT09X0RnUldCZ0pRQWdRQVhnUlJCd0FBVjFJSEFGaFRXd2NBQVFRSEIxVlhCUXBTQjFSWA==.mp4
509b5d4e-b883-4315-852f-62672fd5af35,Tommy Edman homers (1) on a fly ball to left center field.   Teoscar Hernández scores.,104.1,406.2051078,31,https://sporty-clips.mlb.com/WU9BbERfV0ZRVkV3dEdEUT09X0F3RllCbEZRVWxjQVdsb0tWUUFBQWdkVEFGa0FVUWNBQkZjREJ3RlRWUVlFVmdGVA==.mp4
42cf2bf5-932c-4dec-a573-94dc061327f7,Pete Alonso homers (4) on a fly ball to center field.   Francisco Lindor scores.    Brandon Nimmo scores.,113.6,432.2370912,24,https://sporty-clips.mlb.com/TUFLb1dfV0ZRVkV3dEdEUT09X0FnTUNBbFpXQUFjQUFWRUFCUUFBVlZNRkFBQUFWRklBQzFGUlV3TURBQUJYQjFSUg==.mp4
2acad14d-a2d2-4e88-83b0-8606992b3ac4,Andy Pages homers (2) on a fly ball to left center field.   Enrique Hernández scores.    Max Muncy scores.,102.5,375.9324189,36,https://sporty-clips.mlb.com/TUFLb1dfV0ZRVkV3dEdEUT09X0JGQUNCUUFGVWxZQVdWQldWQUFBVkE1ZUFGa0dBVkVBQ2xNRkJnb01BMUZXVVZGUw==.mp4
4ac12d7f-1494-484f-b5a1-d13fa7dc6e9f,Juan Soto homers (2) on a fly ball to center field.   Gleyber Torres scores.,113.3,414.4165564,35,https://sporty-clips.mlb.com/TUFLbzFfV0ZRVkV3dEdEUT09X0FsQUNWVlpRVVZRQUNWWUxVZ0FBQ1FJQUFBTUFBbEFBVmxRR1ZsSUNWVkJUVlFzQQ==.mp4
e4cc9bd3-a50f-4b9d-be6c-b45ed1a8d6c6,Juan Soto homers (3) on a fly ball to center field.   Jasson Domínguez scores.    Alex Verdugo scores.,109.7,402.4902966,37,https://sporty-clips.mlb.com/SzQ3QUJfV0ZRVkV3dEdEUT09X1V3VUNCMTFXQWdFQVdWY0NBQUFBVXc4Q0FBTlFWUUlBVUZFQVZWY0VVQXNCQmxGUQ==.mp4
9f6f6fc0-9014-4c57-81de-251c4d5c9fc7,"Guardians challenged (touching a base), call on the field was upheld: Giancarlo Stanton homers (3) on a fly ball to center field.",106.1,390.035408,24,https://sporty-clips.mlb.com/OTd2WFZfV0ZRVkV3dEdEUT09X0QxZFhBbEpTQlFJQUFWSURVZ0FBVWdOUkFGa0VCd1FBQUZBRVV3ZFJCRkJjVmxGUg==.mp4
502b5c0c-5341-4047-9860-32f10b54fd69,David Fry homers (2) on a fly ball to left center field.   Bo Naylor scores.,105.8,399.3489132,33,https://sporty-clips.mlb.com/OTd2WFZfV0ZRVkV3dEdEUT09X0F3RlRCbEZYVmxFQURWRUdWd0FBQVFKUkFGZ05WVkVBQVZkVEFRTlhCQWNEVkFSZg==.mp4
659c84d9-dc7c-47b7-a6a0-35d3e5fcff4f,Jesse Winker homers (1) on a fly ball to right field.,108.9,399.1533138,36,https://sporty-clips.mlb.com/WnhXOEdfV0ZRVkV3dEdEUT09X0FBUllCMXdBQWdzQVhBRUZCUUFBQmxSUkFBQURBbEVBQVZCUkExWUFWMUFEVmdZQQ==.mp4
74607804-c306-4d71-9ccf-456dc43a7074,Zach McKinstry homers (1) on a fly ball to left field.,101.4,354.2939744,31,https://sporty-clips.mlb.com/eHliT0RfV0ZRVkV3dEdEUT09X0FRVlhWRk1NVmdZQVcxRUNVQUFBVlFGWEFGaFdBQWNBQmxBRFZGQUJBbEpTQUFWUw==.mp4
bd0b187d-3378-4a94-92f7-1eccb0991a10,Mark Vientos homers (1) on a fly ball to right field.    Francisco Lindor scores.,99,353.8593394,30,https://sporty-clips.mlb.com/MnIycWRfV0ZRVkV3dEdEUT09X1ZGVlJCbFVNVVZZQUMxRUZYZ0FBVUE5U0FGZ0hCVllBQXdCV1UxRUZDQXBVVVFOVw==.mp4
5359c1af-17a5-4d0c-97e4-4b46b43ca96e,Kerry Carpenter homers (1) on a fly ball to right field.    Jake Rogers scores.    Trey Sweeney scores.,110.8,423.4475898,35,https://sporty-clips.mlb.com/ZFhWd2pfV0ZRVkV3dEdEUT09X0F3SlVYUWNGQjFRQUNWVlRVd0FBVlFZRkFGZ0NCbFVBQmdjQkJsRUJBbEFFQ1FRRA==.mp4
d3f9446b-5443-4661-8b4a-e6c2f7106a5b,Fernando Tatis Jr.  homers (3) on a fly ball to center field.   Luis Arraez scores.,105.4,401.1303424,27,https://sporty-clips.mlb.com/N3lZQmpfV0ZRVkV3dEdEUT09X1VnSUhYVkFBVUZBQURWWUdWUUFBQndCWEFGbFhWd0FBVjFOV0FsVUNBQU5UVVFjRQ==.mp4
5920b922-4287-43db-93a4-83606bbdfddc,Kyle Higashioka homers (3) on a fly ball to center field.,102.4,387.2843294,34,https://sporty-clips.mlb.com/N3lZQmpfV0ZRVkV3dEdEUT09X0F3aFRWQVlOVkFBQURGQUtVUUFBQWxJRUFGZ0dBbFVBQ2xZREFBVlhVMWNEVkZZRg==.mp4
48891ed4-70e2-4e8b-9e1b-a6e717e22da8,Manny Machado homers (1) on a fly ball to left center field.   Fernando Tatis Jr.  scores.,103.3,397.6927755,28,https://sporty-clips.mlb.com/Uk9HOGFfV0ZRVkV3dEdEUT09X0FnbFpYVlZSQWdZQUQxSlhWQUFBVkE0RUFGaFFVZ01BVTFOUUJ3SUNWQUZYVkZOZQ==.mp4
c234ed73-c0e8-41b2-97ab-855bdcee6bf8,Brandon Nimmo homers (1) on a line drive to right center field.,107.9,389.7586543,20,https://sporty-clips.mlb.com/MnIycWRfV0ZRVkV3dEdEUT09X1ZRTlNVQUZRVVFFQVcxSlhYZ0FBQUZSVUFGZ0NBZ01BQ2xBQVVsZFdWRlpUVWxSZQ==.mp4
98adfd46-5335-4d40-9ec8-9ec44bff9404,Jazz Chisholm Jr.  homers (1) on a fly ball to right field.,106.8,375.3643124,39,https://sporty-clips.mlb.com/MDRNbDNfV0ZRVkV3dEdEUT09X0R3a0FBQUpRVWdRQURWRUJVd0FBVlFKV0FGaFFBRmtBQ3dCV0JBZFhWMVZjQkFKUw==.mp4
40c26b87-b627-4498-b14a-cd2fa47cc758,Jackson Merrill homers (1) on a fly ball to left center field.   Manny Machado scores.,103.8,383.027157,30,https://sporty-clips.mlb.com/N3lZQmpfV0ZRVkV3dEdEUT09X0FnRUNWbEpXWGdVQVdsUUFVUUFBQlE5ZUFBTUVWd0FBVVFFSFZsSUJCbEFHQndkZQ==.mp4
7e8c1e42-44ce-4058-af69-7b80ec13bf40,Pete Alonso homers (3) on a fly ball to right field.,108.1,384.7235066,33,https://sporty-clips.mlb.com/WnhXOEdfV0ZRVkV3dEdEUT09X0FWUlpCMVZSVWdBQURGWlJBd0FBQVFOZUFBQlRWVmdBQlFjTkFGWldBQUFIVmdaVw==.mp4
cedcf36b-85e2-499b-9c3e-336f346cdadb,Lane Thomas hits a grand slam (2) to left center field.   Steven Kwan scores.    David Fry scores.    José Ramírez scores.,107.7,396.0029264,35,https://sporty-clips.mlb.com/TDZvdmJfV0ZRVkV3dEdEUT09X1ZWUUZCd0lIVUZBQUFGZFhWQUFBQ0E4RUFGaFdVQVFBQVZZRFZnQUJCMUFCVVZZRQ==.mp4
4c9680f8-32f8-42aa-b870-bbb440739374,Mookie Betts homers (1) on a fly ball to left field.,95.9,342.2869805,37,https://sporty-clips.mlb.com/eUxNMDhfV0ZRVkV3dEdEUT09X0FsSllVbHdFQUFvQUMxQlVYZ0FBQTFjSEFBTU5WRkVBVUFkWEJBY0ZCZ0JjQXdWUw==.mp4
26c3f5ee-9132-4e5b-aaf3-469cdc97f042,Gavin Lux homers (1) on a fly ball to right field.    Will Smith scores.,108.3,368.7405793,22,https://sporty-clips.mlb.com/bmI4eTlfV0ZRVkV3dEdEUT09X0JBY0NWd0lCQTFjQUFWTUJWQUFBVkFNRUFBQlVCVklBQmxNTVUxZFdDQVFEQUFaVQ==.mp4
3efe0e8f-a0b0-496c-9d1e-e305e1d99d64,Austin Wells homers (1) on a fly ball to center field.,103.7,407.3974116,25,https://sporty-clips.mlb.com/TUFLbzFfV0ZRVkV3dEdEUT09X0JWUUhBVlJSWGxRQVdWSlFWZ0FBQ0FBRkFGaFJVZ1FBVjFZRkJWWUVWUXBjVkFSUw==.mp4
fa05a09a-8247-4a04-9098-0bd408bc2f9a,Francisco Lindor homers (2) on a fly ball to right field.,103.6,395.0133471,35,https://sporty-clips.mlb.com/TkFWODVfV0ZRVkV3dEdEUT09X1VGQlJVUVVFWDFNQUFGQUdVUUFBVUFaU0FGZ0ZXbGtBQWdkUkJBTU5VMUJYVmdzSA==.mp4
2dd6daef-74b1-4ac0-9ac6-4a3522354165,Giancarlo Stanton homers (2) on a fly ball to left center field.,114.3,439.3634795,22,https://sporty-clips.mlb.com/UHZRTzNfV0ZRVkV3dEdEUT09X0JGVUZVZ0JWQTFRQUQxWlFWd0FBVUZWV0FGaFVBRmNBQmdRR0JRRUhBZ1pSQVFSVA==.mp4
3b2031b0-1a97-4ced-af0e-dccc5d45ee10,Enrique Hernández homers (2) on a fly ball to left center field.   Tommy Edman scores.,102.4,377.8311967,31,https://sporty-clips.mlb.com/WERPd2FfV0ZRVkV3dEdEUT09X0JWTlRWRmNGQkFJQUNRTUxVUUFBVWxNQ0FBQlRVd1FBVmdaV1V3WlJCUVlBVlFOVw==.mp4
4bd274b1-2e7d-4b98-8181-195a54a37495,Aaron Judge homers (2) on a line drive to right field.    Juan Soto scores.,109.9,356.1459025,18,https://sporty-clips.mlb.com/OTd2WFZfV0ZRVkV3dEdEUT09X0FsTUZWbE1BQkFNQUNnY0ZBZ0FBVXc5ZUFGa0VXMUFBQTF3QVVRWUJVQUJTQkF0VA==.mp4
b65ddc89-3889-45d5-b646-d28342630a58,Xander Bogaerts homers (1) on a fly ball to left center field.,101,387.0004188,36,https://sporty-clips.mlb.com/N3lZQmpfV0ZRVkV3dEdEUT09X1ZBZFVBQUJYWGdzQUMxb0tYd0FBQkZKVEFBTURWMWNBVmxjTkF3Y0hCd0JWVVFkZQ==.mp4
